region,comuna,zona,comuna_name
7,7408,1,"yerbas buenas"
8,8101,1,"concepción"
8,8102,1,"coronel"
8,8103,1,"chiguayante"
8,8104,1,"florida"
8,8105,1,"hualqui"
8,8106,1,"lota"
8,8107,1,"penco"
8,8108,1,"san pedro de la paz"
8,8109,1,"santa juana"
8,8110,1,"talcahuano"
8,8111,1,"tomé"
8,8112,1,"hualpén"
8,8201,1,"lebu"
8,8202,1,"arauco"
8,8203,1,"cañete"
8,8204,1,"contulmo"
8,8205,1,"curanilahue"
8,8206,1,"los Álamos"
8,8207,1,"tirúa"
8,8301,1,"los Ángeles"
8,8302,1,"antuco"
8,8303,1,"cabrero"
8,8304,1,"laja"
8,8305,1,"mulchén"
8,8306,1,"nacimiento"
8,8307,1,"negrete"
8,8308,1,"quilaco"
8,8309,1,"quilleco"
8,8310,1,"san rosendo"
8,8311,1,"santa bárbara"
8,8312,1,"tucapel"
8,8313,1,"yumbel"
8,8314,1,"alto biobío"
8,8401,1,"chillán"
8,8402,1,"bulnes"
8,8403,1,"cobquecura"
8,8404,1,"coelemu"
8,8405,1,"coihueco"
8,8406,1,"chillán viejo"
8,8407,1,"el carmen"
8,8408,1,"ninhue"
8,8409,1,"Ñiquén"
8,8410,1,"pemuco"
8,8411,1,"pinto"
8,8412,1,"portezuelo"
8,8413,1,"quillón"
8,8414,1,"quirihue"
8,8415,1,"ránquil"
8,8416,1,"san carlos"
8,8417,1,"san fabián"
8,8418,1,"san ignacio"
8,8419,1,"san nicolás"
8,8420,1,"treguaco"
8,8421,1,"yungay"
9,9101,1,"temuco"
9,9102,1,"carahue"
9,9103,1,"cunco"
9,9104,1,"curarrehue"
9,9105,1,"freire"
9,9106,1,"galvarino"
9,9107,1,"gorbea"
9,9108,1,"lautaro"
9,9109,1,"loncoche"
9,9110,1,"melipeuco"
9,9111,1,"nueva imperial"
9,9112,1,"padre las casas"
9,9113,1,"perquenco"
9,9114,1,"pitrufquén"
9,9115,1,"pucón"
9,9116,1,"saavedra"
9,9117,1,"teodoro schmidt"
9,9118,1,"toltén"
9,9119,1,"vilcún"
9,9120,1,"villarrica"
9,9121,1,"cholchol"
9,9201,1,"angol"
9,9202,1,"collipulli"
9,9203,1,"curacautín"
9,9204,1,"ercilla"
9,9205,1,"lonquimay"
9,9206,1,"los sauces"
9,9207,1,"lumaco"
9,9208,1,"purén"
9,9209,1,"renaico"
9,9210,1,"traiguén"
9,9211,1,"victoria"
10,10101,1,"puerto montt"
10,10102,1,"calbuco"
10,10104,1,"fresia"
10,10105,1,"frutillar"
10,10106,1,"los muermos"
10,10107,1,"llanquihue"
10,10108,1,"maullín"
10,10109,1,"puerto varas"
10,10201,1,"castro"
10,10202,1,"ancud"
10,10203,1,"chonchi"
10,10204,2,"curaco de vélez"
10,10205,1,"dalcahue"
10,10206,2,"puqueldón"
10,10207,1,"queilén"
10,10208,1,"quellón"
10,10209,1,"quemchi"
10,10210,1,"quinchao"
10,10301,1,"osorno"
10,10302,1,"puerto octay"
10,10303,1,"purranque"
10,10304,1,"puyehue"
10,10305,1,"río negro"
10,10306,1,"san juan de la costa"
10,10307,1,"san pablo"
11,11101,1,"coyhaique"
11,11201,1,"aysén"
11,11202,1,"cisnes"
11,11301,1,"cochrane"
11,11401,1,"chile chico"
11,11402,2,"río ibáñez"
12,12101,1,"punta arenas"
12,12301,1,"porvenir"
12,12401,1,"natales"
13,13101,1,"santiago"
13,13102,1,"cerrillos"
13,13103,1,"cerro navia"
13,13104,1,"conchalí"
13,13105,1,"el bosque"
13,13106,1,"estación central"
13,13107,1,"huechuraba"
13,13108,1,"independencia"
13,13109,1,"la cisterna"
13,13110,1,"la florida"
13,13111,1,"la granja"
13,13112,1,"la pintana"
13,13113,1,"la reina"
13,13114,1,"las condes"
13,13115,1,"lo barnechea"
13,13116,1,"lo espejo"
13,13117,1,"lo prado"
13,13118,1,"macul"
13,13119,1,"maipú"
13,13120,1,"Ñuñoa"
13,13121,1,"pedro aguirre cerda"
13,13122,1,"peñalolén"
13,13123,1,"providencia"
13,13124,1,"pudahuel"
13,13125,1,"quilicura"
13,13126,1,"quinta normal"
13,13127,1,"recoleta"
13,13128,1,"renca"
13,13129,1,"san joaquín"
13,13130,1,"san miguel"
13,13131,1,"san ramón"
13,13132,1,"vitacura"
13,13201,1,"puente alto"
13,13202,1,"pirque"
13,13203,1,"san josé de maipo"
13,13301,1,"colina"
13,13302,1,"lampa"
13,13303,1,"tiltil"
13,13401,1,"san bernardo"
13,13402,1,"buin"
13,13403,1,"calera de tango"
13,13404,1,"paine"
13,13501,1,"melipilla"
13,13502,1,"alhué"
13,13503,1,"curacaví"
13,13504,1,"maría pinto"
13,13505,2,"san pedro"
13,13601,1,"talagante"
13,13602,1,"el monte"
13,13603,1,"isla de maipo"
13,13604,1,"padre hurtado"
13,13605,1,"peñaflor"
14,14101,1,"valdivia"
14,14102,1,"corral"
14,14103,1,"lanco"
14,14104,1,"los lagos"
14,14105,1,"máfil"
14,14106,1,"mariquina"
14,14107,1,"paillaco"
14,14108,1,"panguipulli"
14,14201,1,"la unión"
14,14202,1,"futrono"
14,14203,1,"lago ranco"
14,14204,1,"río bueno"
15,15101,1,"arica"
15,15102,2,"camarones"
15,15201,1,"putre"
